CDH13_Domain1	CDH17_Domain1	111	10
CDH13_Domain1	CDH17_Domain5	34	-5
CDH2_Domain5	CDH17_Domain7	86	0
CDH23_Domain22	CDH17_Domain7	28	-1
CDH23_Domain22	CDH17_Domain6	26	0
CDH8_Domain2	CDH17_Domain6	49	8
CDH8_Domain2	CDH17_Domain2	42	-6
CDH8_Domain2	CDH17_Domain3	40	13
CDH8_Domain2	CDH17_Domain7	29	0
CELSR1_Domain2	CDH17_Domain5	48	-1
CELSR1_Domain2	CDH17_Domain4	45	0
CELSR1_Domain2	CDH17_Domain7	40	-3
CELSR1_Domain2	CDH17_Domain1	38	9
CELSR2_Domain13	CDH17_Domain1	36	-11
DSG3_Domain1	CDH17_Domain3	90	12
DSG3_Domain1	CDH17_Domain1	88	11
DSG3_Domain1	CDH17_Domain4	40	-1
FAT1_Domain30	CDH17_Domain5	43	-3
FAT1_Domain30	CDH17_Domain4	41	-4
FAT1_Domain30	CDH17_Domain6	41	0
FAT1_Domain30	CDH17_Domain2	31	-4
IGF1R_Domain2	CDH17_Domain2	37	-3
NFKB1_Domain1	CDH17_Domain1	28	190
PCDH11X_Domain1	CDH17_Domain6	35	13
PCDH17_Domain2	CDH17_Domain1	74	14
PCDH17_Domain2	CDH17_Domain3	60	15
PCDH17_Domain2	CDH17_Domain6	33	0
PCDH8_Domain3	CDH17_Domain3	70	12
PCDH8_Domain3	CDH17_Domain1	51	11
PCDHA12_Domain4	CDH17_Domain1	67	8
PCDHA12_Domain4	CDH17_Domain3	56	9
PCDHAC2_Domain2	CDH17_Domain1	71	12
PCDHAC2_Domain2	CDH17_Domain3	42	13
PCDHAC2_Domain2	CDH17_Domain6	40	0
PCDHB13_Domain4	CDH17_Domain1	63	2
PCDHB13_Domain4	CDH17_Domain3	46	3
CDH13_Domain2	CDH17_Domain4	66	0
CDH13_Domain2	CDH17_Domain2	64	2
CDH20_Domain1	CDH17_Domain3	57	8
CDH20_Domain1	CDH17_Domain1	51	8
CDH20_Domain1	CDH17_Domain6	45	3
CDH23_Domain23	CDH17_Domain3	83	7
CDH23_Domain23	CDH17_Domain5	51	-1
CDH23_Domain23	CDH17_Domain6	45	0
CDH23_Domain23	CDH17_Domain4	31	0
CDH8_Domain3	CDH17_Domain5	71	-3
CDH8_Domain3	CDH17_Domain6	56	0
CDH8_Domain3	CDH17_Domain4	47	0
CDH8_Domain3	CDH17_Domain3	44	13
CELSR1_Domain3	CDH17_Domain7	50	-2
CELSR1_Domain3	CDH17_Domain1	42	9
CELSR1_Domain3	CDH17_Domain3	37	10
CELSR1_Domain3	CDH17_Domain4	31	-7
DCHS1_Domain17	CDH17_Domain6	86	3
DCHS1_Domain17	CDH17_Domain3	60	8
DCHS1_Domain17	CDH17_Domain5	32	-4
DSG3_Domain2	CDH17_Domain3	82	13
DSG3_Domain2	CDH17_Domain1	77	12
DSG3_Domain2	CDH17_Domain6	70	8
DSG3_Domain2	CDH17_Domain5	49	-2
FAT1_Domain31	CDH17_Domain3	58	9
FAT1_Domain31	CDH17_Domain1	51	8
FAT1_Domain31	CDH17_Domain5	24	-3
FAT2_Domain24	CDH17_Domain1	56	9
FAT2_Domain24	CDH17_Domain3	41	10
FAT2_Domain24	CDH17_Domain5	39	-6
FAT2_Domain24	CDH17_Domain6	30	0
FAT2_Domain24	CDH17_Domain4	26	0
PCDH11X_Domain2	CDH17_Domain3	61	14
PCDH11X_Domain2	CDH17_Domain1	48	13
PCDH11X_Domain2	CDH17_Domain7	33	3
PCDH17_Domain3	CDH17_Domain3	53	12
PCDH17_Domain3	CDH17_Domain1	48	11
PCDH17_Domain3	CDH17_Domain4	38	0
PCDH17_Domain3	CDH17_Domain6	25	0
PCDH8_Domain4	CDH17_Domain1	64	8
PCDH8_Domain4	CDH17_Domain3	55	9
PCDHA12_Domain5	CDH17_Domain3	76	14
PCDHA6_Domain1	CDH17_Domain3	56	4
PCDHA6_Domain1	CDH17_Domain1	49	3
PCDHA6_Domain1	CDH17_Domain6	24	-7
PCDHAC2_Domain3	CDH17_Domain6	81	7
PCDHAC2_Domain3	CDH17_Domain3	74	12
